Fabricio Martín Agosto Ramírez,34,567936000,Spain,Goalkeeper,Fulham,180,0,N/A,0,0,0,0,0
Faustino Marcos Alberto Rojo,32,637920000,Argentina,Defender,Manchester United,211,0,N/A,0,0,0,2,0
Federico Fernández,33,604051200,Argentina,Defender,Newcastle United,1484,1,N/A,0,0,0,2,0
Felipe Anderson Pereira Gomes,29,734857200,Brazil,Midfielder,West Ham United,3054,4,N/A,9,0,0,3,0
Fernando Llorente Torres,37,478252800,Spain,Forward,Tottenham Hotspur,683,4,N/A,1,0,0,2,0
Fernando Luiz Rosa,37,484038000,Brazil,Midfielder,Manchester City,2381,3,N/A,1,0,0,5,0
Florent Hadergjonaj,28,775638000,Switzerland,Defender,Huddersfield Town,1840,0,N/A,0,0,0,1,0
Florian Lejeune,31,674722800,France,Defender,Newcastle United,1055,0,N/A,0,0,0,0,0
Florin Andone,29,734511600,Romania,Forward,Brighton & Hove Albion,874,0,N/A,3,0,0,5,0
Floyd Ayité,33,598176000,Togo,Midfielder,Fulham,465,0,N/A,1,0,0,0,0
Fousseni Diabaté,27,813999600,Mali,Midfielder,Leicester City,55,0,N/A,0,0,0,0,0
Francisco Femenía Far,31,665481600,Spain,Midfielder,Watford,2045,1,N/A,1,0,0,1,0
Fraser Forster,34,574588800,England,Goalkeeper,Southampton,90,0,N/A,0,0,0,0,0
Freddie Woodman,25,857462400,England,Goalkeeper,Newcastle United,0,0,N/A,0,0,0,0,0
Frederico Rodrigues Santos,29,731318400,Brazil,Midfielder,Manchester United,1045,1,N/A,1,0,0,2,0
Gabriel Jesus,25,860054400,Brazil,Forward,Manchester City,1019,3,N/A,7,1,0,1,0
Gaëtan Bong Songo,34,577954800,Cameroon,Defender,Brighton & Hove Albion,1805,0,N/A,0,0,0,0,0
Gary Cahill,36,503827200,England,Defender,Chelsea,22,0,N/A,0,0,0,0,0
Gary Madine,32,651481200,England,Forward,Cardiff City,32,0,N/A,0,0,0,0,0
George Marsh,23,910252800,England,Midfielder,Tottenham Hotspur,0,0,N/A,0,0,0,0,0
Georges-Kevin N'Koudou Mbida,27,792662400,France,Forward,Tottenham Hotspur,4,1,N/A,0,0,0,0,0
Georginio Wijnaldum,31,658310400,Netherlands,Midfielder,Liverpool,2735,0,N/A,3,0,0,3,0
Gerard Deulofeu,28,763545600,Spain,Forward,Watford,2082,5,N/A,10,0,0,3,0
Glenn Murray,39,433321200,England,Forward,Brighton & Hove Albion,2513,1,N/A,13,4,0,5,0
Gonzalo Higuain,34,566121600,Argentina,Forward,Chelsea,1092,0,N/A,5,0,0,0,0
Grady Diangana,24,892969200,England,Midfielder,West Ham United,604,1,N/A,0,0,0,0,0
Granit Xhaka,30,717577200,Switzerland,Midfielder,Arsenal,2502,2,N/A,4,0,0,10,0
Greg Cunningham,31,665308800,Republic of Ireland,Defender,Cardiff City,630,0,N/A,0,0,0,3,0
Gylfi Sigurdsson,33,621241200,Iceland,Midfielder,Everton,3134,6,N/A,13,2,3,3,0
Hamza Choudhury,25,875689200,England,Midfielder,Leicester City,596,0,N/A,0,0,0,0,0
Harry Arter,32,630835200,Republic of Ireland,Midfielder,Cardiff City,2008,1,N/A,0,0,0,10,0
Harry Kane,29,743842800,England,Forward,Tottenham Hotspur,2427,4,N/A,17,4,0,5,0
Harry Maguire,29,731318400,England,Defender,Leicester City,2599,0,N/A,3,0,0,7,1
Harry Winks,26,823248000,England,Midfielder,Tottenham Hotspur,1591,0,N/A,1,0,0,4,0
Harvey Lewis Barnes,24,881654400,England,Midfielder,Leicester City,1007,2,N/A,1,0,0,0,0
Håvard Nordtveit,32,645951600,Norway,Midfielder,Fulham,361,1,N/A,0,0,0,0,0
Hector Bellerin,27,795600000,Spain,Defender,Arsenal,1535,5,N/A,0,0,0,3,0
Hélder Wander Sousa Azevedo Costa,28,758361600,Portugal,Midfielder,Wolverhampton Wanderers,1345,2,N/A,1,0,0,3,0
Henrikh Mkhitaryan,33,601372800,Armenia,Midfielder,Arsenal,1643,4,N/A,6,0,0,1,0
Heung-Min Son,30,710578800,South Korea,Forward,Tottenham Hotspur,2048,6,N/A,12,0,0,3,1
Heurelho da Silva Gomes,41,351072000,Brazil,Goalkeeper,Watford,0,0,N/A,0,0,0,0,0
Hugo Lloris,35,535968000,France,Goalkeeper,Tottenham Hotspur,2970,0,N/A,0,0,0,0,0
Ibrahima Cissé,28,762422400,Belgium,Midfielder,Fulham,87,0,N/A,0,0,0,0,0
Idrissa Gana Gueye,33,622796400,Senegal,Midfielder,Everton,2825,2,N/A,0,0,0,6,0
İlkay Gündoğan,32,656751600,Germany,Midfielder,Manchester City,2135,3,N/A,6,0,0,3,0
Isaac Ajayi Success,26,821001600,Nigeria,Forward,Watford,1037,1,N/A,1,0,0,4,0
Isaac Hayden,27,795859200,England,Midfielder,Newcastle United,1886,4,N/A,1,0,0,4,1
Isaac Mbenza,26,826272000,Belgium,Forward,Huddersfield Town,981,1,N/A,1,0,0,1,0
Issa Diop,25,852796800,France,Defender,West Ham United,2970,0,N/A,1,0,0,4,0
Ivan Ricardo Neves Abreu Cavaleiro,29,750927600,Portugal,Forward,Wolverhampton Wanderers,683,1,N/A,3,0,0,1,0
Jack Cork,33,614761200,England,Midfielder,Burnley,3313,2,N/A,1,0,0,6,0
Jack Simpson,25,850896000,England,Defender,AFC Bournemouth,403,0,N/A,0,0,0,0,0
Jack Stephens,28,759657600,England,Defender,Southampton,1697,0,N/A,1,0,0,4,0
Jack Wilshere,30,694252800,England,Midfielder,West Ham United,389,1,N/A,0,0,0,2,0
Jacob Murphy,27,793612800,England,Midfielder,Newcastle United,300,1,N/A,0,0,0,0,0
Jaïro Riedewald,26,842252400,Netherlands,Defender,Crystal Palace,0,0,N/A,0,0,0,0,0
Jamal Lascelles,28,753004800,England,Defender,Newcastle United,2748,1,N/A,0,0,0,4,0
James Garner,21,984470400,England,Defender,Manchester United,0,0,N/A,0,0,0,0,0
James Maddison,25,848736000,England,Midfielder,Leicester City,2850,7,N/A,7,1,1,5,1
James McArthur,35,560588400,Scotland,Midfielder,Crystal Palace,3071,6,N/A,3,0,0,7,0
James McCarthy,31,658396800,Republic of Ireland,Midfielder,Everton,14,0,N/A,0,0,0,0,0
James Milner,36,505209600,England,Midfielder,Liverpool,1785,4,N/A,5,3,0,7,1
James Tarkowski,29,722160000,England,Defender,Burnley,3087,1,N/A,3,0,0,8,0
James Tomkins,33,607161600,England,Defender,Crystal Palace,2563,1,N/A,1,0,0,6,0
James Ward-Prowse,27,783676800,England,Midfielder,Southampton,1942,0,N/A,7,1,0,4,0
Jamie Sterry,26,816940800,England,Defender,Newcastle United,0,0,N/A,0,0,0,0,0
Jamie Vardy,35,537350400,England,Forward,Leicester City,2735,4,N/A,18,4,1,4,1
Jan Bednarek,26,829292400,Poland,Defender,Southampton,2151,1,N/A,0,0,0,7,0
Jan Vertonghen,35,546246000,Belgium,Defender,Tottenham Hotspur,1915,0,N/A,1,0,0,5,1
Jannik Vestergaard,30,712825200,Denmark,Defender,Southampton,2030,0,N/A,0,0,0,2,0
Jason Puncheon,36,520153200,England,Midfielder,Huddersfield Town,391,0,N/A,0,0,0,1,0
Jason Steele,32,650962800,England,Goalkeeper,Brighton & Hove Albion,0,0,N/A,0,0,0,0,0
Javier Hernandez,34,581151600,Mexico,Forward,West Ham United,1335,1,N/A,7,0,0,2,0
Javier Manquillo Gaitán,28,768121200,Spain,Defender,Newcastle United,1097,3,N/A,0,0,0,2,0
Jayson Molumby,23,933922800,Republic of Ireland,Midfielder,Brighton & Hove Albion,0,0,N/A,0,0,0,0,0
Jazz Richards,31,671439600,Wales,Defender,Cardiff City,128,0,N/A,0,0,0,0,0
Jean Michau00ebl Seri,31,679906800,Ivory Coast,Midfielder,Fulham,2252,2,N/A,1,0,0,6,0
Jeff Hendrick,30,696844800,Republic of Ireland,Midfielder,Burnley,2069,0,N/A,3,0,0,4,0
Jefferson Lerma,28,783068400,Colombia,Midfielder,AFC Bournemouth,2511,0,N/A,2,0,0,12,0
Jeffrey Schlupp,29,725097600,Ghana,Defender,Crystal Palace,1665,1,N/A,4,0,0,1,0
Jermain Defoe,40,402822000,England,Forward,AFC Bournemouth,21,0,N/A,0,0,0,0,0
Jesse Lingard,29,724406400,England,Midfielder,Manchester United,1668,2,N/A,4,1,0,3,0
João Moutinho,36,526546800,Portugal,Midfielder,Wolverhampton Wanderers,3040,8,N/A,1,0,0,4,0
Joe Bennett,32,638611200,England,Defender,Cardiff City,2641,1,N/A,0,0,0,5,0
Joe Bryan,29,748249200,England,Defender,Fulham,2350,1,N/A,0,0,0,5,0
Joe Daniel Tupper,24,879580800,England,Goalkeeper,Crystal Palace,0,0,N/A,0,0,0,0,0
Joe Gomez,25,864370800,England,Defender,Liverpool,1060,0,N/A,0,0,0,2,0
Joe Hart,35,545814000,England,Goalkeeper,Burnley,1710,0,N/A,0,0,0,0,0
Joe Powell,24,909734400,England,Forward,West Ham United,0,0,N/A,0,0,0,0,0
Joe Ralls,29,750495600,England,Midfielder,Cardiff City,1959,0,N/A,0,0,1,5,1
Joel Coleman,27,812098800,England,Goalkeeper,Huddersfield Town,90,0,N/A,0,0,0,0,0
Joel Matip,31,681634800,Cameroon,Defender,Liverpool,1532,0,N/A,1,0,0,3,0
Joel Ward,32,625647600,England,Defender,Crystal Palace,551,0,N/A,1,0,0,1,0
Johann Berg Guðmunds­son,32,657010800,Iceland,Midfielder,Burnley,1748,6,N/A,3,0,0,2,0
John Ruddy,36,530521200,England,Goalkeeper,Wolverhampton Wanderers,90,0,N/A,0,0,0,0,0
