Juan,45,hoy,Chapin,Portero,Rojos Cremas,0,0,0,0,0,0,0,0
Víctor Camarasa,28,1994/05/28,Spain,Midfielder,Cardiff City,2579,4,0,5,1,0,6,0
Victor Moses,31,1990/12/12,Nigeria,Midfielder,Chelsea,26,0,0,0,0,0,0,0
Victor Nilsson Lindelöf,28,1994/07/17,Sweden,Defender,Manchester United,2602,1,0,1,0,0,1,0
Victor Wanyama,31,1991/06/25,Kenya,Midfielder,Tottenham Hotspur,509,0,0,1,0,0,2,0
Viktor Gyökeres,24,1998/06/04,Sweden,Forward,Brighton & Hove Albion,0,0,0,0,0,0,0,0
Vincent Janssen,28,1994/06/15,Netherlands,Forward,Tottenham Hotspur,36,0,0,0,0,0,0,0
Vincent Kompany,36,1986/04/10,Belgium,Defender,Manchester City,1223,0,0,1,0,0,6,0
Virgil van Dijk,31,1991/07/08,Netherlands,Defender,Liverpool,3385,2,0,4,0,0,1,0
Wayne Hennessey,35,1987/01/24,Wales,Goalkeeper,Crystal Palace,1575,0,0,0,0,0,0,0
Wes Morgan,38,1984/01/21,Jamaica,Defender,Leicester City,1926,0,0,3,0,0,5,2
Wesley Hoedt,28,1994/03/06,Netherlands,Defender,Southampton,1170,0,0,0,0,0,2,0
Wilfredo Daniel Caballero,41,1981/09/28,Argentina,Goalkeeper,Chelsea,180,0,0,0,0,0,0,0
Wilfried Zaha,29,1992/11/10,Ivory Coast,Midfielder,Crystal Palace,3041,5,0,10,0,0,10,1
Will Hughes,27,1995/04/17,England,Midfielder,Watford,2436,4,0,2,0,0,5,0
Will Norris,29,1993/08/12,England,Goalkeeper,Wolverhampton Wanderers,0,0,0,0,0,0,0,0
Willian,34,1988/08/09,Brazil,Forward,Chelsea,2108,6,0,3,0,0,2,0
Willy Boly,31,1991/02/03,France,Defender,Wolverhampton Wanderers,3169,0,0,4,0,0,3,1
Xherdan Shaqiri,31,1991/10/10,Switzerland,Midfielder,Liverpool,1058,3,0,6,0,0,2,0
Yann Valery,23,1999/02/22,France,Defender,Southampton,1715,1,0,2,0,0,5,1
Yerry Fernando Mina González,28,1994/09/23,Colombia,Defender,Everton,890,0,0,1,0,0,3,0
Yoshinori Muto,30,1992/07/15,Japan,Forward,Newcastle United,516,0,0,1,0,0,1,0
Youri Tielemans,25,1997/05/07,Belgium,Midfielder,Leicester City,1092,4,0,3,0,0,2,0
Yves Bissouma,26,1996/08/30,Mali,Midfielder,Brighton & Hove Albion,1769,0,0,0,0,0,5,0
Zechariah Medley,22,2000/07/07,England,Defender,Arsenal,0,0,0,0,0,0,0,0
Zeze Steven Sessegnon,22,2000/05/18,England,Defender,Fulham,0,0,0,0,0,0,0,0
Łukasz Fabiański,37,1985/04/18,Poland,Goalkeeper,West Ham United,3420,0,0,0,0,0,0,0
Adam Coronado,36,03/10/85,Chain,Delantero,Rojos Cremas,1325,1000,1000,52,0,0,0,0
