Juan,45,hoy,Chapin,Portero,Rojos Cremas,0,0,0,0,0,0,0,0
Calum Chambers,27,1995/01/20,England,Defender,Fulham,2587,0,0,2,0,0,9,0
Cameron John,23,1999/08/24,England,Defender,Wolverhampton Wanderers,0,0,0,0,0,0,0,0
Carl Jenkinson,30,1992/02/08,England,Defender,Arsenal,166,0,0,0,0,0,0,0
Carlos Sánchez,36,1986/02/06,Colombia,Midfielder,West Ham United,240,0,0,0,0,0,0,0
Cedric Soares,31,1991/08/31,Portugal,Defender,Southampton,1494,2,0,1,0,0,4,0
Cenk Tosun,31,1991/06/07,Turkey,Forward,Everton,1050,3,0,3,0,0,3,0
Cesar Azpilicueta,33,1989/08/28,Spain,Defender,Chelsea,3403,5,0,1,0,0,4,0
Cesc Fabregas,35,1987/05/04,Spain,Midfielder,Chelsea,175,0,0,0,0,0,1,0
Charlie Austin,33,1989/07/05,England,Forward,Southampton,980,2,0,2,0,1,1,0
Charlie Daniels,36,1986/09/07,England,Defender,AFC Bournemouth,1583,0,0,1,0,0,4,0
Charlie Taylor,29,1993/09/18,England,Defender,Burnley,3240,1,0,0,0,0,2,0
Cheikhou Kouyaté,32,1989/12/21,Senegal,Midfielder,Crystal Palace,1897,2,0,0,0,0,3,0
Chris Löwe,33,1989/04/16,Germany,Defender,Huddersfield Town,2056,2,0,0,0,0,2,0
Chris Mepham,24,1997/11/05,Wales,Defender,AFC Bournemouth,849,1,0,0,0,0,1,0
Chris Smalling,32,1989/11/22,England,Defender,Manchester United,2128,0,0,1,0,0,1,0
Chris Wood,30,1991/12/07,New Zealand,Forward,Burnley,2582,2,0,10,0,0,2,0
Christian Atsu Twasam,30,1992/01/10,Ghana,Midfielder,Newcastle United,1487,0,0,1,0,0,2,0
Christian Benteke,31,1990/12/03,Belgium,Forward,Crystal Palace,813,1,0,1,0,0,1,0
Christian Eriksen,30,1992/02/14,Denmark,Midfielder,Tottenham Hotspur,2772,12,0,8,0,0,3,0
Christian Fuchs,36,1986/04/07,Austria,Defender,Leicester City,206,0,0,0,0,0,0,0
Christian Kabasele,31,1991/02/24,Belgium,Defender,Watford,1587,0,0,0,0,0,4,1
Christopher Schindler,32,1990/04/29,Germany,Defender,Huddersfield Town,3262,0,0,1,0,0,6,1
Ciaran Clark,33,1989/09/26,Republic of Ireland,Defender,Newcastle United,857,0,0,3,0,0,1,0
Claudio Andrés Bravo Muñoz,39,1983/04/13,Chile,Goalkeeper,Manchester City,0,0,0,0,0,0,0,0
Collin Quaner,31,1991/06/18,Germany,Forward,Huddersfield Town,37,0,0,0,0,0,0,0
Connor Wickham,29,1993/03/31,England,Forward,Crystal Palace,61,1,0,0,0,0,0,0
Conor Coady,29,1993/02/25,England,Midfielder,Wolverhampton Wanderers,3420,0,0,0,0,0,5,0
Conor Coventry,22,2000/03/25,Republic of Ireland,Midfielder,West Ham United,0,0,0,0,0,0,0,0
Craig Cathcart,33,1989/02/06,Northern Ireland,Defender,Watford,3099,0,0,3,0,0,2,0
Curtis Jones,21,2001/01/30,England,Midfielder,Liverpool,0,0,0,0,0,0,0,0
Cyrus Christie,30,1992/09/30,Republic of Ireland,Defender,Fulham,1943,1,0,0,0,0,7,0
Dale Stephens,33,1989/06/12,England,Midfielder,Brighton & Hove Albion,2487,1,0,1,0,0,7,1
Damián Emiliano Martínez,30,1992/09/02,Argentina,Goalkeeper,Arsenal,0,0,0,0,0,0,0,0
Dan Burn,30,1992/05/09,England,Defender,Brighton & Hove Albion,0,0,0,0,0,0,0,0
Dan Gosling,32,1990/02/01,England,Midfielder,AFC Bournemouth,1737,1,0,2,0,0,8,0
Daniel Amartey,27,1994/12/21,Ghana,Midfielder,Leicester City,640,0,0,0,0,0,2,0
Daniel Sturridge,33,1989/09/01,England,Forward,Liverpool,496,1,0,2,0,0,1,0
Daniel William John Ings,30,1992/07/23,England,Forward,Southampton,1668,3,0,7,3,0,1,0
Daniel Williams,33,1989/03/08,USA,Midfielder,Huddersfield Town,93,0,0,0,0,0,1,0
